side,type,entry_time,exit_time,entry_price,exit_price,size_btc,stop_loss,pnl,half_closed_at_tp1,duration_hours
long,primary,2024-04-30 20:00:00,2024-05-01 04:00:00,60672.0,57506.83,0.054652,57506.83,-176.13,False,8.0
long,primary,2024-05-07 04:00:00,2024-05-08 20:00:00,63669.69,61679.29,0.05321,61679.29,-109.19,False,40.0
short,primary,2024-05-31 04:00:00,2024-06-03 12:00:00,68174.99,69815.82,0.049033,69815.82,-83.88,False,80.0
short,primary,2024-06-05 08:00:00,2024-06-10 12:00:00,70971.71,70017.8,0.023305,72523.17,73.23,True,124.0
long,primary,2024-06-14 00:00:00,2024-06-18 00:00:00,66744.0,64880.25,0.049981,64880.25,-96.4,False,96.0
long,primary,2024-06-24 20:00:00,2024-07-04 08:00:00,60293.3,57189.65,0.053099,57189.65,-167.84,False,228.0
short,primary,2024-07-20 08:00:00,2024-07-21 20:00:00,66483.69,68061.73,0.049581,68061.73,-81.61,False,36.0
long,primary,2024-07-05 08:00:00,2024-07-23 12:00:00,55486.5,66197.2,0.021263,51691.63,346.07,True,436.0
long,rolling,2024-07-10 16:00:00,2024-07-23 12:00:00,57392.03,66197.2,0.012758,55805.6,141.09,True,308.0
long,rolling,2024-07-11 12:00:00,2024-07-23 12:00:00,57402.01,66197.2,0.007655,55858.38,84.08,True,288.0
long,rolling,2024-07-11 16:00:00,2024-07-23 12:00:00,57378.01,66197.2,0.004593,55840.1,50.52,True,284.0
short,primary,2024-07-27 00:00:00,2024-07-29 00:00:00,67798.0,69568.26,0.050743,69568.26,-93.36,False,48.0
short,primary,2024-08-07 12:00:00,2024-08-08 20:00:00,56094.5,60358.91,0.039883,60358.91,-172.49,False,32.0
long,rolling,2024-08-21 16:00:00,2024-08-22 00:00:00,61570.0,59911.76,0.01695,59911.76,-29.12,False,8.0
long,primary,2024-08-19 16:00:00,2024-08-27 08:00:00,58967.53,62623.73,0.02825,57326.75,169.31,True,184.0
long,rolling,2024-08-23 20:00:00,2024-08-27 08:00:00,64037.24,62356.32,0.006102,62356.32,-10.64,False,84.0
